YEAR;MO;DY;date;week;Radiation;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WS10M_RANGE;WD10M;WS50M;WS50M_RANGE;WD50M;T2M;T2MDEW;T2MWET;TS;T2M_RANGE;T2M_MAX;T2M_MIN
1981;5;3;03/05/1981;19;1.99;4.33;29.0;0.0;98.19;2.88;3.57;211.69;4.37;8.16;226.56;21.45;1.27;11.36;23.09;-258.76;28.71;14.31
1981;5;4;04/05/1981;19;3.62;4.52;30.19;0.0;98.1;4.91;4.11;287.0;7.09;6.87;286.94;20.6;1.75;11.17;22.11;-261.48;26.67;15.0
1981;5;5;05/05/1981;19;2.77;3.23;21.38;0.0;98.08;4.04;3.21;241.12;5.55;2.79;241.69;21.89;-2.44;9.73;22.5;-253.55;31.61;12.01
1981;5;6;06/05/1981;19;3.28;5.25;32.56;0.0;98.41;4.48;6.77;117.25;6.3;9.12;117.38;23.54;4.08;13.81;25.17;-253.93;33.19;13.98
1981;5;7;07/05/1981;19;2.65;4.52;24.62;0.0;98.34;3.64;6.15;143.0;5.23;8.0;143.44;25.94;2.08;14.01;27.12;-253.57;35.57;15.99
1981;5;8;08/05/1981;19;3.4;4.03;18.06;0.0;97.7;4.86;5.1;141.69;7.32;6.02;142.12;27.7;0.35;14.02;27.16;-257.93;35.9;20.68
1981;5;9;09/05/1981;19;2.23;3.91;16.06;0.0;97.37;3.27;4.04;225.69;4.71;4.18;226.06;29.15;-0.05;14.55;29.42;-253.63;39.27;19.75
1981;5;10;10/05/1981;20;4.42;4.64;19.62;0.15;97.53;6.12;6.14;270.81;9.12;6.64;270.75;28.13;2.35;15.24;27.55;-258.7;34.85;20.4
1981;5;11;11/05/1981;20;3.05;4.7;27.75;0.0;98.19;4.12;1.56;220.25;6.26;3.95;219.62;23.19;2.66;12.93;24.95;-258.75;30.4;16.01
1981;5;12;12/05/1981;20;2.33;4.52;26.5;0.0;98.18;3.26;3.02;196.75;5.12;7.31;196.31;23.41;2.15;12.78;25.54;-257.77;31.26;15.88
1981;5;13;13/05/1981;20;2.88;4.82;26.75;0.0;98.03;3.97;5.82;102.81;6.0;8.76;102.94;25.01;2.94;13.98;26.9;-256.5;33.04;16.39
1981;5;14;14/05/1981;20;3.88;5.37;26.19;0.0;97.68;5.29;4.92;146.31;7.34;4.09;146.5;27.25;4.48;15.87;28.22;-254.14;36.26;17.25
1981;5;15;15/05/1981;20;4.03;6.1;27.81;0.07;97.55;5.34;6.7;257.19;7.04;6.37;256.06;26.81;6.03;16.42;27.9;-262.23;32.07;21.15
1981;5;16;16/05/1981;20;5.05;7.93;52.44;0.0;98.45;6.51;3.09;24.88;8.12;3.31;25.25;20.9;10.13;15.52;23.05;-264.02;25.44;16.32
1981;5;17;17/05/1981;21;2.97;6.1;45.19;0.0;98.69;4.0;2.43;66.0;5.73;4.38;66.31;20.84;6.03;13.44;22.8;-256.73;28.9;12.48
1981;5;18;18/05/1981;21;3.11;5.31;31.94;0.0;98.82;4.25;3.36;98.69;6.34;4.91;98.56;23.67;4.23;13.95;25.26;-257.31;31.14;15.3
1981;5;19;19/05/1981;21;2.47;4.46;23.81;0.0;98.9;3.49;5.54;84.94;5.32;8.58;84.88;25.8;2.02;13.91;27.72;-255.75;34.17;16.77
1981;5;20;20/05/1981;21;2.26;4.52;20.88;0.0;98.76;3.17;4.95;126.06;4.64;7.34;126.31;27.73;2.23;14.98;29.19;-256.24;35.86;18.94
1981;5;21;21/05/1981;21;2.22;4.09;18.56;0.0;98.5;3.22;4.92;140.12;4.79;8.95;140.5;28.26;0.76;14.51;29.85;-255.69;36.73;19.27
1981;5;22;22/05/1981;21;3.79;3.78;18.25;0.0;98.45;5.02;6.59;91.69;7.06;9.3;92.25;28.0;-0.38;13.81;29.69;-254.87;37.18;18.9
1981;5;23;23/05/1981;21;5.2;4.58;22.06;0.0;98.37;6.76;5.09;87.69;8.43;7.2;90.12;27.99;1.74;14.87;29.43;-255.49;37.65;20.0
1981;5;24;24/05/1981;22;4.09;4.21;20.19;0.0;98.26;5.38;7.05;87.81;7.12;9.8;88.56;28.48;0.5;14.49;30.33;-256.75;37.01;20.62
1981;5;25;25/05/1981;22;3.99;4.27;18.56;0.0;97.95;5.39;4.12;127.0;7.89;6.11;128.25;29.69;1.19;15.44;30.56;-253.74;39.46;20.05
1981;5;26;26/05/1981;22;5.2;3.91;13.62;0.0;97.45;6.96;9.82;133.38;9.42;11.22;134.81;31.66;0.06;15.87;31.51;-256.46;40.05;23.37
1981;5;27;27/05/1981;22;5.38;8.42;41.44;0.0;97.85;7.01;7.77;84.75;8.56;8.71;84.94;25.62;10.65;18.14;26.99;-260.43;31.79;19.07
1981;5;28;28/05/1981;22;5.38;7.32;45.62;0.0;98.59;6.95;4.88;54.69;8.67;5.65;55.25;23.44;8.65;16.05;25.27;-257.2;31.81;15.86
1981;5;29;29/05/1981;22;4.02;5.49;32.38;0.0;98.47;5.21;4.95;79.0;6.75;7.52;80.06;26.25;4.44;15.34;28.15;-250.89;37.35;15.09
1981;5;30;30/05/1981;22;5.44;4.94;19.44;0.0;98.17;7.19;5.66;126.5;9.65;6.67;127.56;30.82;3.35;17.08;31.26;-255.65;40.19;22.69
1981;5;31;31/05/1981;23;5.59;4.15;13.56;0.0;98.04;7.47;6.48;152.38;10.28;5.38;153.0;33.27;0.9;17.09;33.64;-255.68;42.2;24.73
1981;6;1;01/06/1981;23;4.12;4.03;12.12;0.0;98.03;5.48;6.71;168.06;7.32;9.45;167.94;34.66;0.69;17.68;34.82;-258.12;42.39;27.36
1981;6;2;02/06/1981;23;3.17;5.8;17.62;0.0;97.91;4.19;5.32;183.25;5.75;7.7;182.56;34.68;5.44;20.05;36.26;-255.95;43.5;26.31
1981;6;3;03/06/1981;23;2.9;6.84;21.75;0.0;97.91;3.83;3.85;172.69;5.33;5.98;172.0;34.61;7.58;21.1;36.46;-257.68;43.02;27.56
1981;6;4;04/06/1981;23;5.06;9.7;38.5;0.0;98.02;6.5;10.42;68.19;7.62;12.9;55.0;30.41;13.08;21.74;32.9;-253.77;40.91;21.54
1981;6;5;05/06/1981;23;6.29;7.93;41.81;0.0;98.47;8.1;3.14;56.06;9.77;2.77;56.5;25.52;10.12;17.82;27.33;-257.85;33.71;18.41
1981;6;6;06/06/1981;23;2.81;4.7;25.12;0.0;98.47;3.82;6.35;127.81;5.15;7.66;127.75;27.17;2.36;14.76;29.17;-253.02;36.97;16.84
1981;6;7;07/06/1981;24;2.84;3.54;14.0;0.0;98.34;3.91;6.26;134.88;5.94;8.84;134.75;30.43;-1.42;14.5;32.4;-255.2;39.09;21.14
1981;6;8;08/06/1981;24;3.84;6.23;23.56;0.0;98.25;5.03;8.29;121.25;6.53;10.71;121.19;31.54;6.58;19.05;33.85;-257.09;40.12;24.05
1981;6;9;09/06/1981;24;3.84;6.23;25.38;0.0;98.15;4.98;6.27;69.62;6.38;8.83;70.19;30.25;6.54;18.39;32.47;-255.88;38.93;21.66
1981;6;10;10/06/1981;24;4.2;5.86;24.69;0.0;98.32;5.45;9.43;147.88;6.94;11.97;148.44;29.66;5.69;17.67;31.62;-257.45;37.12;21.43
1981;6;11;11/06/1981;24;3.18;7.02;27.75;0.0;98.48;4.12;5.16;106.19;5.48;7.73;106.12;30.48;8.4;19.44;32.78;-256.72;38.62;22.19
1981;6;12;12/06/1981;24;3.25;5.92;23.44;0.0;98.42;4.27;7.94;137.06;5.76;10.39;136.44;30.57;5.83;18.2;33.23;-257.19;38.41;22.45
1981;6;13;13/06/1981;24;4.62;6.47;27.56;0.0;98.35;6.0;3.25;67.38;7.9;4.04;67.94;29.29;7.02;18.15;31.12;-258.37;36.75;21.97
1981;6;14;14/06/1981;25;4.47;6.9;31.62;0.0;98.36;5.77;3.68;60.38;7.49;4.16;60.56;28.02;8.01;18.01;30.04;-259.08;34.59;20.52
1981;6;15;15/06/1981;25;5.23;7.81;35.0;0.0;98.37;6.75;3.74;67.56;8.48;5.74;68.62;29.03;9.56;19.3;30.72;-256.77;36.94;20.56
1981;6;16;16/06/1981;25;4.04;6.53;28.25;0.0;98.24;5.28;4.58;65.25;6.9;5.85;65.75;29.78;6.96;18.37;31.66;-255.95;38.23;21.02
1981;6;17;17/06/1981;25;2.61;5.13;18.88;0.0;98.0;3.59;4.77;170.56;5.16;7.64;170.75;31.84;3.86;17.85;33.69;-254.92;40.63;22.4
